test_subject,method,init,train_samples,val_samples,best_epoch,best_val_acc,final_val_acc,final_val_macro_f1,base_ckpt,pretrained_ckpt,note
sub10,scratch,scratch,430,103,28,99.029126,98.058252,0.977922,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub10_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub10,supLP120,pretrained,430,103,13,98.058252,97.087379,0.970106,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub10_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub10,supMAE,pretrained,430,103,23,100.000000,99.029126,0.988456,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub10_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub10,mae,pretrained,430,103,14,98.058252,97.087379,0.967172,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub10_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub10,supcon,pretrained,430,103,7,98.058252,98.058252,0.976912,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub10_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub11,scratch,scratch,399,101,25,99.009901,98.019802,0.978355,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub11_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub11,supLP120,pretrained,399,101,7,100.000000,99.009901,0.988456,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub11_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub11,supMAE,pretrained,399,101,11,100.000000,100.000000,1.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub11_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub11,mae,pretrained,399,101,18,99.009901,99.009901,0.989899,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub11_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub11,supcon,pretrained,399,101,5,100.000000,99.009901,0.988456,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub11_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub7,scratch,scratch,399,101,26,100.000000,100.000000,1.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub7_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub7,supLP120,pretrained,399,101,5,100.000000,100.000000,1.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub7_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub7,supMAE,pretrained,399,101,9,98.019802,98.019802,0.989773,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub7_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub7,mae,pretrained,399,101,15,100.000000,100.000000,1.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub7_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub7,supcon,pretrained,399,101,6,99.009901,99.009901,0.989899,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub7_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub8,scratch,scratch,399,101,27,97.029703,97.029703,0.971189,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub8_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub8,supLP120,pretrained,399,101,4,100.000000,100.000000,1.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub8_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub8,supMAE,pretrained,399,101,25,99.009901,99.009901,0.988456,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub8_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub8,mae,pretrained,399,101,12,99.009901,99.009901,0.987013,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub8_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub8,supcon,pretrained,399,101,8,100.000000,100.000000,1.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub8_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub9,scratch,scratch,399,101,23,99.009901,98.019802,0.977830,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub9_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub9,supLP120,pretrained,399,101,5,100.000000,98.019802,0.981293,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub9_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub9,supMAE,pretrained,399,101,17,99.009901,99.009901,0.990817,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub9_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub9,mae,pretrained,399,101,19,99.009901,99.009901,0.987013,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub9_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub9,supcon,pretrained,399,101,5,100.000000,100.000000,1.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N1/models/sub9_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
